기준년월일,시군구명,남성 10세미만 유동인구수,남성 10-14세 유동인구수,남성 15-19세 유동인구수,남성 20-24세 유동인구수,남성 25-29세 유동인구수,남성 30-34세 유동인구수,남성 35-39세 유동인구수,남성 40-44세 유동인구수,남성 45-49세 유동인구수,남성 50-54세 유동인구수,남성 55-59세 유동인구수,남성 60-64세 유동인구수,남성 65-69세 유동인구수,남성 70세이상 유동인구수,여성 10세미만 유동인구수,여성 10-14세 유동인구수,여성 15-19세 유동인구수,여성 20-24세 유동인구수,여성 25-29세 유동인구수,여성 30-34세 유동인구수,여성 35-39세 유동인구수,여성 40-44세 유동인구수,여성 45-49세 유동인구수,여성 50-54세 유동인구수,여성 55-59세 유동인구수,여성 60-64세 유동인구수,여성 65-69세 유동인구수,여성 70세이상 유동인구수
20240104,,11329.67,,14935.09,20578.24,22156.38,21655.53,21837.7,20885.27,29173.72,31595.92,37371.51,35142.94,29988.02,23104.16,34962.68,,11607.83,14808.13,17256.72,16757.88,15892.16,16870.22,20565.16,25873.01,26241.72,28925.4,28276.23,24727.11
20240104,,5234.74,,7205.6,8898.16,8418.15,7070.4,8012.61,10196.33,14126.44,15739.04,15194.69,10065.2,7968.07,5333.15,6424.97,,5121.69,8233.45,7426.37,5241.01,4419.06,7024.05,8651.43,12862.98,14526.96,12333.86,9062.29,6430.53
20240104,,20558.13,,26895.65,23479.25,24507.29,32778.34,45252.23,50029.29,64755.13,59616.76,61851.36,54011.6,44050.32,30871.91,36011.17,,22398.94,25494.8,21296.3,19224.02,22836.69,27689.53,34932.56,41180.46,36773.93,34257.09,30821.15,27146.6
20240104,,3096.03,,6213.74,6165.88,7534.1,7748.79,9052,10662.82,15612.78,15494.08,18222.57,17779.73,15007.86,11461.05,17349.41,,3813.49,5198.35,5699.86,4996.52,5775.11,5951.36,7869.43,8967.29,10701.11,11873.84,13695.18,11630.73
20240104,,5182.06,,5311.53,8450.82,6269.22,9336,9929.23,9876.85,15423.02,15426.73,17680.12,19503.88,16419.83,13549.5,23738.31,,4497.69,5705.46,7436.24,5542.25,6740.05,7374.28,8810.94,9844.34,12797.99,13918.16,16060.74,14111.99
20240104,,3190.39,,5006,6448.71,5848.74,6956.51,8614.97,10687.27,13313.21,13600.95,15796.98,15698.71,15000.06,12621.27,20095.14,,3983.01,5575.81,5593.88,4062.64,4996.06,5215.02,6405.87,9198.96,10182.22,11980.64,12828.62,12513.16
20240104,,1784.62,,2588.21,3450.89,4196.31,4919.38,4568.65,4670.27,7071.54,7487.34,8178.09,8629.83,7644.28,6592.96,10392.71,,2196.68,2521.66,3301.88,2732.62,3769.86,2922.6,3776.5,4191.53,4908.14,5495.75,6739.81,5691.63
20240104,,7888.31,,13201.57,16477.66,17010.03,15974.89,16719.65,17282.28,25123.5,26461.66,30739.33,28184.77,24276.87,19097.96,27944.7,,9467.67,12586.55,14320.52,13693.81,12187.52,12729.34,16470.59,23493.93,23559.12,25460.16,20564.05,20364.58
20240104,,6828.78,,9573.67,12117.54,12454.13,16994.84,18443.74,21772.7,27927.48,29650.42,32938.11,32163.3,27953.65,22906.36,33635.85,,6918.67,7904.39,10144.67,10870.22,11114.77,12443.24,15429.63,19651.53,20239.67,23374.5,23300.18,21947.14
20240104,,4349.91,,6346.14,6943.41,7245.89,8716.29,9712.74,11379.78,14868.66,16033.57,16762.44,16581.13,15077.05,14084.54,19962.76,,3918.3,7344.06,6492.92,4984.99,6035.04,6525.15,8761.07,10427.74,11204.73,12645.88,14778.14,13711.3
20240105,,115106.15,,155010.21,169520.73,178958.56,212995.12,236415.06,237077.2,270855.96,255453.69,258967.86,219139.73,173555.99,121081.21,135693.45,,125316.23,154977.53,150043.32,182461.82,181549.17,195934.92,207109.44,242993.91,237154.52,219622.95,178372.04,142246.88
20240105,,10100.45,,15976.95,24515.42,23373.47,24998.56,23635.2,23879.01,30785.74,34457.54,39353.29,37201.19,30577.56,23001.3,30664.36,,10838.23,15171.75,20765.75,23594.97,18218.47,17860.15,19626.17,26235.27,27879.28,31420,28881.5,24949.32
20240105,,11908.61,,15438.11,15544.4,18031.34,16580.84,20403.04,23054.92,28368.47,30169.2,32978.69,30111.86,25838.19,20781.32,31138.34,,9933.16,16153.71,15141.08,12900.09,13643.57,14468.02,19031.22,22821.97,24903.71,26386.8,25581.88,24162.5
20240105,,60473.36,,75272.95,73301.02,70911.52,91193.39,115626.33,136992.94,162458.57,145621.99,141562,114264.65,86790.43,57947.79,72205.29,,65091.7,73982.34,69678.87,68270.23,69467.95,87956.31,109134.74,121125.74,105551.34,89233.84,76069.05,61433.48
20240105,,20370.59,,34237.02,36302.3,32473.08,36643.35,41329.38,45720.72,57529.3,57808.27,61494.87,52633.6,44340.58,32731.38,42662.41,,23763.47,33339.01,30281.85,23337.89,24274.93,31600.88,41601.44,51625.45,49457.52,44950.6,41009.21,33812.78
20240105,,12822.52,,17469.79,21725.03,22806.83,21270.03,21805.81,21224.81,29865.2,32079.01,37683.19,35915.58,30562.29,23122.69,34416.15,,12677.65,17942.55,16850.28,16920.48,16285.09,17891.31,21705.33,27178.4,26960,29710.67,28527.37,25121.13
20240105,,5777.31,,7942.48,8771.44,8443.57,6954.95,7770.48,9844.83,13840.03,15248.56,15067.3,10144.8,7981.81,5164.6,6386.23,,4956.82,7928.7,7307.61,5304.49,4613.92,6963.71,8864.95,12670.38,14063.68,12107.88,8983.55,6345.17
20240105,,22222.01,,30286.61,27848.81,24718.25,33093.25,44830.8,50512.31,64580.74,58974.99,61775.7,54602.34,45469.82,31603.59,37998.4,,23989.84,29175.28,24297.07,19640.07,22894.97,29282.13,36587.89,43714.13,38381.72,35658.89,32535.67,29079.76
20240105,,3068.55,,6774.97,6639.43,8156.38,7935.11,9292.45,10852.44,15924.82,15586.03,18323.72,17739.49,15074.18,11497.44,17039.34,,4002.36,5649.45,5574.61,4753.81,5560.35,5934.48,8060.82,8984.76,11244.99,11953.63,13533.61,11963.6
20240105,,4720.05,,6671.12,9924.67,7588.01,8983.41,10413.61,10268.64,15950.79,16284.7,18829.65,20091.7,16788.5,14028.41,24637.38,,4203,6462.04,8477.96,5893.31,7131.37,6827.04,9492.81,10841.97,13565.42,14422.54,16494.38,15070.31
20240105,,3863,,5948.13,7453.9,6047.67,7768.55,8846.55,10614.8,13503.27,13790.18,15897.78,16068.38,15246.56,12934.08,21382.75,,4043.44,5986.51,6021.69,4353.8,4527.26,5538.18,6660.87,9727.12,10583.79,12255.08,13360.78,12760.9
20240105,,2161.37,,2731.67,3969.35,4419.76,4635.09,4482.25,4641.18,7098.95,7216.37,8373.43,8587.61,7603.67,6662.87,10529.75,,2668.55,2928.53,3760.88,3176.62,3966.6,2999.86,3844.05,4255.96,5467.82,5934.62,6643.06,6053.58
20240105,,8226.94,,14626.93,18259.42,17828.03,17257.27,16897.23,17497.28,26010.37,26894.85,30817.44,28548.39,24442.61,18841,27391.85,,9514.22,14373.35,17361.3,14362.44,12640.54,12907.4,16870.95,24580.99,24708.57,25565,20935.97,20502.99
20240105,,8041.37,,11315.69,11943.12,13805.95,16767.44,18064.71,22897.5,28599.28,29457.45,33548.13,32235.95,28069.08,23206.93,34645.96,,7869.82,9186.97,12084.69,11193.59,11215.32,13055.07,16274.16,20988.63,22005.46,23549.27,24770.48,23269.09
20240105,,4839.83,,7650.74,7770.9,7742.55,8541.57,9716.75,11917.32,14816.95,16098.32,17077.27,16307.88,14876.82,13701.57,20051.86,,4577.03,8115.95,7770.11,4739.54,6299.74,6854.14,9168.1,11261.46,12006.97,13118.34,15193.14,13849.58
20240106,,99488.93,,134344.91,133628.64,172367.27,207280.55,224183.11,221524.42,246787.69,226416.64,230841.06,198743.82,159338.14,108921.52,125489.05,,103533.1,134477.22,119857.57,176411.33,186210.87,196800.93,197916.33,224526.2,214230.71,206718.88,169327.97,134637.41
20240106,,10381.26,,16940.93,19046.89,24865.39,25941.58,23660.01,22581.05,28838.07,31564.15,36319.02,35541.61,30018.55,22081.66,30714.89,,11514.56,14647.19,17464.17,24975.58,21856.62,20057.65,21482.97,27290.28,28472.71,33773.81,31540.03,26206.04
20240106,,10329.65,,15538.43,16299.38,17827.34,16517.18,19307.83,23444.24,28175.6,30389.26,32734.12,28840.71,26592.91,20454.07,29629.25,,9166.39,17213.33,13986.54,14259.22,15465.1,17012.67,20546.98,25253.95,26987.36,27713.46,26292.9,25456.9
20240106,,52537.85,,66742.41,55748.74,64778.55,79405.01,94600.09,112914.64,131447.82,119649.63,116132.83,96746.52,75022.82,51856.31,65815.8,,52778.41,63622.32,51177.92,62777.34,66305.98,82090.18,95954.33,103976.02,92278.51,83758.92,71247.15,58782.67
20240106,,18139.59,,33237.99,30097.77,32533.41,31976.68,36748.47,40042.68,51440.44,51577.37,55211.99,47212.85,40182.4,29340.63,39139.98,,21753.11,28972.29,25792.87,24714.75,24330.19,29563.11,39090.27,47441.87,45506.54,41755.78,38946.31,32382.9
20240106,,13392.21,,15985.62,18459.6,25473.8,21850.65,19882.75,19889.81,27507.2,29453.84,34351.37,33835.7,28009.87,22086.22,31151.52,,11324.54,15218.69,15526.95,18130.11,15656.99,17926.09,21253.32,26051.25,26069.17,29368.34,27922.05,24436.23
20240106,,4918.09,,6869.92,8601.77,9259.69,5368.38,5731.5,8094.59,10483.63,12774.75,13301.63,8614.16,7038.82,4908.63,5758.47,,4211.05,6389.4,6897.46,5247.71,4144.38,5484.89,7257.17,10588.93,12381.08,10681.26,7879.61,5799.95
20240106,,19299.3,,26552.27,22734.86,24028.24,28213.42,37211.26,42640.96,54046.51,49074.04,51149.58,45354.32,37471.46,26691.85,32651.59,,20897,25671.96,19669.25,20382.44,22997.35,27877.14,33709.11,38789.85,35306.35,34113.38,31553.41,27719.98
20240106,,3085.08,,6766.08,6152.13,7367.72,6873.82,7324.1,9246.87,13723,13376.06,16696.33,16221.57,14184.01,11177.52,16844.82,,3641.17,6144.9,5596.72,4966.59,5717.48,5935.79,7593.1,9260.44,10617.05,12318.23,13822.54,12622.33
20240106,,5747.16,,7339.57,7811.88,7899.52,8264.17,8602.65,9945.47,15291.97,14704.37,17184.43,18604.55,16303.1,13633.67,22786.96,,5012.25,6379.79,6261.17,6646.33,6616.56,7593.48,10968.5,11734.89,13187.09,14442.01,16846.81,15131.2
20240106,,3965.99,,5966.59,6554.85,6026.06,6914.98,6545.14,9634.16,12237.63,13182.35,15072.25,15492.08,14299.82,12180.84,18454.68,,4256.43,5956.2,5142.15,4940.17,4790.66,5029.26,7532.97,10062.5,10259.24,12188.81,13704.52,12916.62
20240106,,4003.85,,4251.69,3523.41,3978.88,4273.4,4512.57,5732,7566.83,7373.67,7770.78,8079.42,7639.13,6683.25,10344.27,,4312.56,3725.38,2997.44,3321.09,4136.01,4517.29,5829.86,5990.92,5616.25,6390.7,7220.19,6647.35
