순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
113,충청남도,천안시 동남구,뮤지엄호두,충남 천안시 동남구 광풍로 315-0,문화관광,전시시설,340
114,충청남도,천안시 동남구,각원사청동대좌불,충남 천안시 동남구,역사관광,역사유적지,338
115,충청남도,천안시 동남구,천샛골낚시터,충남 천안시 동남구 샛골길 137-0,레저스포츠,수상레저스포츠,325
116,충청남도,천안시 동남구,천안딸기힐링팜,충남 천안시 동남구 탑원1길 87-0,체험관광,농/산/어촌체험,316
117,충청남도,천안시 동남구,천안북일고야구장,충남 천안시 동남구 단대로 69-0,문화관광,레저스포츠시설,311
118,충청남도,천안시 동남구,태조산공원,충남 천안시 동남구 태조산길 261-0,문화관광,도시공원,309
119,충청남도,천안시 동남구,청룡족구장,충남 천안시 동남구,레저스포츠,기타레저스포츠,295
120,충청남도,천안시 동남구,물고기세상낚시카페,충남 천안시 동남구 수곡2길 4-0,레저스포츠,수상레저스포츠,288
121,충청남도,천안시 동남구,태학사,충남 천안시 동남구 돈마루1길 188-0,역사관광,종교성지,287
122,충청남도,천안시 동남구,목천용현저수지낚시터,충남 천안시 동남구,레저스포츠,수상레저스포츠,283
123,충청남도,천안시 동남구,청당2공원유아숲체험원,충남 천안시 동남구,문화관광,도시공원,278
124,충청남도,천안시 동남구,구성풋살장,충남 천안시 동남구 쉼1길 41-0,레저스포츠,기타레저스포츠,277
125,충청남도,천안시 동남구,에어바이킹포시즌파크,충남 천안시 동남구 용수골길 38-0,문화관광,테마공원,272
126,충청남도,천안시 동남구,유성농장,충남 천안시 동남구,체험관광,농/산/어촌체험,269
127,충청남도,천안시 동남구,복권박물관,충남 천안시 동남구 문암로 283-0,문화관광,전시시설,268
127,충청남도,천안시 동남구,솔숲쉼터독립기념관,충남 천안시 동남구 삼방로 159-0,문화관광,도시공원,268
129,충청남도,천안시 동남구,삼거리갤러리,충남 천안시 동남구 천안대로 400-0,문화관광,전시시설,255
130,충청남도,천안시 동남구,도인사,충남 천안시 동남구 지장길 408-0,역사관광,종교성지,254
131,충청남도,천안시 동남구,태조산산림레포츠단지,충남 천안시 동남구 태조산길 261-0,레저스포츠,기타레저스포츠,253
131,충청남도,천안시 동남구,우리끼리 키즈카페 스포츠마을천안구성점,충남 천안시 동남구 충절로 296-0,문화관광,테마공원,253
133,충청남도,천안시 동남구,수신낚시터,충남 천안시 동남구 발산1길 147-106,레저스포츠,수상레저스포츠,247
134,충청남도,천안시 동남구,동화농산,충남 천안시 동남구 차령로 4402-0,체험관광,농/산/어촌체험,244
135,충청남도,천안시 동남구,미나릿길벽화마을,충남 천안시 동남구 원성천1길 17-0,기타관광,기타관광,239
136,충청남도,천안시 동남구,충남음악창작소,충남 천안시 동남구 은행길 15-1,문화관광,기타문화관광지,233
137,충청남도,천안시 동남구,현대닭집,충남 천안시 동남구 충무로 415-0,쇼핑,시장,228
138,충청남도,천안시 동남구,식물원들꽃세상,충남 천안시 동남구 봉양1길 336-0,문화관광,테마공원,222
139,충청남도,천안시 동남구,천안정,충남 천안시 동남구 삼방로 77-31,레저스포츠,육상레저스포츠,221
140,충청남도,천안시 동남구,조병옥박사생가,충남 천안시 동남구,역사관광,역사유적지,220
141,충청남도,천안시 동남구,남산공원,충남 천안시 동남구,문화관광,도시공원,217
142,충청남도,천안시 동남구,천안K컬처박람회,충남 천안시 동남구 독립기념관로 1-0,문화관광,기타문화관광지,209
143,충청남도,천안시 동남구,천안타운홀,충남 천안시 동남구 옛시청길 29-0,문화관광,기타문화관광지,206
143,충청남도,천안시 동남구,천안광덕사의호도나무,충남 천안시 동남구 광덕사길 30-0,역사관광,역사유적지,206
145,충청남도,천안시 동남구,법왕사,충남 천안시 동남구 휴양림길 160-0,역사관광,종교성지,195
146,충청남도,천안시 동남구,천왕사,충남 천안시 동남구 원터길 484-0,역사관광,종교성지,192
147,충청남도,천안시 동남구,천동낚시터,충남 천안시 동남구 충절로 0-0,레저스포츠,수상레저스포츠,184
148,충청남도,천안시 동남구,천불사,충남 천안시 동남구 교천지산길 338-16,역사관광,종교성지,180
149,충청남도,천안시 동남구,석오이동녕기념관,충남 천안시 동남구 동리4길 38-0,문화관광,전시시설,178
150,충청남도,천안시 동남구,박문수묘,충남 천안시 동남구,역사관광,역사유적지,174
150,충청남도,천안시 동남구,천안박물관다다어린이체험관,충남 천안시 동남구 천안대로 429-13,문화관광,전시시설,174
152,충청남도,천안시 동남구,쌍용공원,충남 천안시 서북구,문화관광,도시공원,170
153,충청남도,천안시 동남구,해와달다육농원,충남 천안시 동남구 광덕로 128-0,체험관광,농/산/어촌체험,163
154,충청남도,천안시 동남구,용화사,충남 천안시 동남구,역사관광,종교성지,155
