순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
204,충청남도,천안시 동남구,싱싱장어,충남 천안시 동남구 용곡6길 55-0,음식,전문음식,1651
205,충청남도,천안시 동남구,쭈꾸미네,충남 천안시 동남구 신용로 12-0,음식,전문음식,1648
206,충청남도,천안시 동남구,천안옛날호두과자본점,충남 천안시 동남구 광풍로 1739-0,음식,간이음식,1644
207,충청남도,천안시 동남구,솥솥,충남 천안시 동남구 태조산길 220-9,음식,한식,1637
208,충청남도,천안시 동남구,두남리들기름육회비빔,충남 천안시 동남구 큰시장길 41-0,음식,한식,1636
209,충청남도,천안시 동남구,민호네,충남 천안시 동남구 천안천공원2길 2-0,음식,한식,1632
210,충청남도,천안시 동남구,교지정,충남 천안시 동남구 풍세로 919-0,음식,한식,1628
211,충청남도,천안시 동남구,들밥가든,충남 천안시 동남구 위례성로 39-0,음식,한식,1624
212,충청남도,천안시 동남구,통정쌈마을,충남 천안시 동남구 통정10로 17-11,음식,한식,1618
213,충청남도,천안시 동남구,오샤브,충남 천안시 동남구 신촌4로 25-0,음식,전문음식,1613
213,충청남도,천안시 동남구,낙원김밥,충남 천안시 동남구 천안여상로 21-0,음식,간이음식,1613
215,충청남도,천안시 동남구,와룡오리섬,충남 천안시 동남구 덕전1길 119-0,음식,전문음식,1611
216,충청남도,천안시 동남구,안골식당,충남 천안시 동남구 먹거리2길 6-1,음식,한식,1598
217,충청남도,천안시 동남구,선데이파스타,충남 천안시 동남구 중앙로 206-0,음식,외국식,1597
218,충청남도,천안시 동남구,도미노피자천안원성점,충남 천안시 동남구 충절로 128-0,음식,간이음식,1585
219,충청남도,천안시 동남구,신방유량동생태전문,충남 천안시 동남구 통정12로 11-0,음식,전문음식,1574
220,충청남도,천안시 동남구,브루어스커피,충남 천안시 동남구 먹거리9길 20-0,음식,카페/찻집,1564
221,충청남도,천안시 동남구,은지동태탕,충남 천안시 동남구 버들로 147-0,음식,전문음식,1548
222,충청남도,천안시 동남구,통삼국청당점,충남 천안시 동남구 청수5로 4-0,음식,한식,1538
223,충청남도,천안시 동남구,유량생태,충남 천안시 동남구 태조산길 165-0,음식,전문음식,1525
224,충청남도,천안시 동남구,배밭촌,충남 천안시 동남구 화령길 4-11,음식,전문음식,1518
225,충청남도,천안시 동남구,보리채청국장,충남 천안시 동남구 청수15길 8-0,음식,한식,1514
226,충청남도,천안시 동남구,수제망치돈가스COFFEE,충남 천안시 동남구 충절로 1087-0,음식,전문음식,1502
