순위,광역시/도,시/군/구,관광지명,도로명주소,중분류 카테고리,소분류 카테고리,검색건수
353,충청남도,천안시 서북구,이순신소국밥천안두정점,충남 천안시 서북구 원두정10길 6-0,음식,한식,1669
354,충청남도,천안시 서북구,등촌칼국수성환점,충남 천안시 서북구 신선동길 22-1,음식,한식,1650
355,충청남도,천안시 서북구,천안조개창고,충남 천안시 서북구 한들3로 8-0,음식,전문음식,1643
356,충청남도,천안시 서북구,모미지[일식],충남 천안시 서북구 서부대로 427-0,음식,외국식,1642
357,충청남도,천안시 서북구,바다양푼이동태탕천안두정점,충남 천안시 서북구 원두정8길 34-0,음식,한식,1629
358,충청남도,천안시 서북구,소담골쌍용점,충남 천안시 서북구 미라7길 25-0,음식,한식,1627
359,충청남도,천안시 서북구,탐앤탐스천안에비뉴점,충남 천안시 서북구 서부대로 739-0,음식,카페/찻집,1621
360,충청남도,천안시 서북구,도미노피자성정점,충남 천안시 서북구 서부대로 578-0,음식,간이음식,1616
361,충청남도,천안시 서북구,개성집,충남 천안시 서북구 한들2로 62-0,음식,한식,1608
362,충청남도,천안시 서북구,유가네장어나라,충남 천안시 서북구 두정상가4길 31-0,음식,전문음식,1605
362,충청남도,천안시 서북구,자갈치어시장,충남 천안시 서북구 양지22길 48-0,음식,전문음식,1605
364,충청남도,천안시 서북구,아우내삼대째순대,충남 천안시 서북구 서부대로 721-0,음식,한식,1602
365,충청남도,천안시 서북구,어푸어푸천안모다아울렛점,충남 천안시 서북구 공원로 196-0,음식,카페/찻집,1599
366,충청남도,천안시 서북구,해물화짬뽕천안두정직영점 [중식],충남 천안시 서북구 원두정7길 17-0,음식,외국식,1597
367,충청남도,천안시 서북구,24시얼큰이병천순대,충남 천안시 서북구 서부대로 402-0,음식,전문음식,1596
368,충청남도,천안시 서북구,옛날참숯불갈비,충남 천안시 서북구 충무로 170-20,음식,한식,1590
369,충청남도,천안시 서북구,추자횟집,충남 천안시 서북구 불당2길 6-0,음식,전문음식,1585
370,충청남도,천안시 서북구,공차천안신불당점,충남 천안시 서북구 불당26로 50-0,음식,카페/찻집,1582
371,충청남도,천안시 서북구,정희백반,충남 천안시 서북구 부성3길 23-0,음식,한식,1580
372,충청남도,천안시 서북구,돈백석,충남 천안시 서북구 성정공원2길 14-0,음식,한식,1573
373,충청남도,천안시 서북구,세컨디포레스트천안점,충남 천안시 서북구 성성11길 27-0,음식,외국식,1569
374,충청남도,천안시 서북구,카규,충남 천안시 서북구 불당28길 26-0,음식,전문음식,1567
374,충청남도,천안시 서북구,병천순대충남집분점,충남 천안시 서북구 쌍용15길 45-0,음식,전문음식,1567
376,충청남도,천안시 서북구,힘찬풍천장어,충남 천안시 서북구 한들1로 55-0,음식,전문음식,1558
377,충청남도,천안시 서북구,이정민갈비탕본점,충남 천안시 서북구 백석3로 29-0,음식,한식,1549
378,충청남도,천안시 서북구,식객,충남 천안시 서북구 한들1로 52-0,음식,전문음식,1548
379,충청남도,천안시 서북구,떳다횟집,충남 천안시 서북구 천안대로 1016-0,음식,전문음식,1544
380,충청남도,천안시 서북구,목연식당,충남 천안시 서북구 원두정7길 2-0,음식,한식,1541
381,충청남도,천안시 서북구,육하원칙직산점,충남 천안시 서북구 부송로 333-0,음식,한식,1534
382,충청남도,천안시 서북구,방일해장국,충남 천안시 서북구 원두정10길 2-0,음식,한식,1528
383,충청남도,천안시 서북구,롯데리아천안성성점,충남 천안시 서북구 성성6로 49-0,음식,간이음식,1519
384,충청남도,천안시 서북구,대손관천안두정점,충남 천안시 서북구 두정로 187-0,음식,한식,1499
384,충청남도,천안시 서북구,라노체케이크,충남 천안시 서북구 불당16길 9-0,음식,간이음식,1499
386,충청남도,천안시 서북구,오봉집천안쌍용점,충남 천안시 서북구 미라8길 9-0,음식,한식,1491
387,충청남도,천안시 서북구,한성막횟집두정본점,충남 천안시 서북구 봉정로 396-0,음식,전문음식,1490
387,충청남도,천안시 서북구,고기랑청목,충남 천안시 서북구 성성6로 14-6,음식,한식,1490
